Column1;caption;nome_evento;local_evento;artista;data_evento;valor;link_venda
52;"13/01 - Roberta Sá (Aterrinho da Praia de Iracema).Ingressos: gratuito, pre carnaval de FortalezaPROGRAMACAO:Sexta-feira (12/01)Praça do Ferreira
17h30 - Luxo da Aldeia
20h - Olodum
Centro Cultural Belchior
17h - Armando Telles e BandaSábado (13/01)Praça do Ferreira
18h - Bloco Concentra Mas Não Sai
20h - Calé AlencarMercado dos Pinhões
17h - Diana Franco
18h40 - Malbeck Show
20h20 - Bloco De ladinho é Mais GostosoMocinha
18h - Bloco Num Ispaia Sinão LenchePraia de Iracema (Aterrinho)
16h30 - Desfile de baterias
Camaleões do Vila, Baqueta Clube de Ritmistas, Unidos da Cachorra
18h - DJ Gomes Smith
19h - Deborah Lima
21h- Roberta SáBenfica (Praça João Gentil)
17h - Lorena Lyse e Banda
18h40 - Gabriela Mendes
20h20 - Grupo DTF ElétricoParque Rachel de Queiroz
18h - Banda Feed Semana
20h10 - Negro Nill e BandaDomingo (14/01)Benfica (Praça João Gentil)
13h - Pingo de Fortaleza
14h40 - Banda Couros e Metais
16h20 - Banda Manga Rosa
18h - Jean Dumont e BandaEspigão do Náutico - Pôr do Sol
17h - Di Ferreira e Banda
19h10 - Marina CavalcantePROGRAMAÇÃO INFANTILParque Rachel de Queiroz
16h - Banda Dragaxé Raiz do Poço
18h10 - Tia SamilaPasseio Público
9h - Charanga Tio Marcão e Banda
10h40 - Pacote de BiscoitoRaimundo do Queijo
10h - Bárbara Sena e Banda
12h10 - Bloco A Turma do Mamão
14h20 - Mel Matos..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael";Pre Carnaval de Fortaleza;Aterrinho da Praia de Iracema;Roberta Sá;13/01/24;gratuito;-
53;13/04 - Jão (Colosso).Ingressos: site eventim, link: https://abre.ai/hQXN..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Jão;Colosso;Jão;13/04/2024;-;https://abre.ai/hQXN
54;27/01 - Laugum (Auê).Ingressos: Ingresso digital link https://ingressodigital.com/evento/10244/Lagum__Tour_2024..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Auê;-;Laugum (Auê);27/01/2024;-;https://ingressodigital.com/evento/10244/Lagum__Tour_2024
55;20/04 - Djonga (Marina Park).Ingressos: site seu tickets, link: https://www.seutickets.com.br/eventos/festival-plantao-fortaleza..UTILIDADE PÚBLICA: Internet Brisanet Fibra 600MB com netflix inclusa por 109 mensais no link: https://tinyurl.com/37tmmw2t..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Festival Plantão Fortaleza;Marina Park;Djonga;20/04/2024;-;https://www.seutickets.com.br/eventos/festival-plantao-fortaleza
56;O lote vira HOJE, Quixeramobim! Últimas horas para garantir o seu ingresso, no valor atual, pra curtir @seudesejo, @reyvaqueiro e @claudioneyejuliana dia 16 de março na casa de shows Arreio de Prata!Pontos de venda: Online - Virtual Ticket: www.virtualticket.com.br/eventos/a-mais-romantica-e-o-rey Venda Física: Quixeramobim: Divino 88 e Casa do Bebê • Quixadá: Tella • São Miguel: José Amâncio Mercantil #SeuDesejo #Ceará #ReyVaqueiro #Quixeramobim #AMaisRomântica #ClaudioNeyEJuliana #ÉoRey;A Mais Romântica e o Rey;Arreio de Prata;@seudesejo, @reyvaqueiro e @claudioneyejuliana;16/03/24;-;www.virtualticket.com.br/eventos/a-mais-romantica-e-o-rey
57;Vocês pediram, nós atendemos! Roupa Nova, com sua turnê 40 anos de sucesso, chega a Fortaleza.09 de AgostoLocal: Centro de EventosAdquira o seu ingresso :www.grafcarlos.comÓticas Diniz (Iguatemi e North Shop. Bezerrade Menezes)Início das vendas : 14.03, a partir das 12:00.;40 anos de sucesso com Roupa Nova;Centro de Eventos;Roupa Nova;09/08/24;-;www.grafcarlos.com
58;O repertório do @somdefaculdade é sempre inesquecível e estaremos juntos no @praiow, dia 23.03 para curtir uma noite especial! Garante seu ingresso e aproveite o lote atual! Falta pouco! www.praiow.com.br;Som de Faculdade;Praiow;-;23/03/24;-;www.praiow.com.br
59;Dia 18 de maio vai ser Fogo e Gasolina com o encontro do trio @henriqueejuliano e @nattan no Colosso Stage! ?70% dos ingressos já estão vendidos… CORRE enquanto há disponibilidade! www.limitezero.art.br;Fogo e Gasolina;Colosso Stage;@henriqueejuliano e @nattan;18/05/24;-;www.limitezero.art.br
60;O LOTE ESGOTA HOJE Fortaleza Aproveite as últimas horas de hoje, quarta -feira, 13 de março e garanta já seu ingresso para o @garotavip e curta o Festival mais amado do Brasil! Amanhã, quinta-feira, 14 de março novos valores! Garanta seu ingresso: PONTOS FÍSICOS: RANCHO DO POÇO:(R. Oscar Benevides, 90 - Mondubim, Fortaleza-CE)LOJAS PONTO DA MODA:MARACANAÚ(End.: R. Dezesseis, 331 - Jereissati I, Maracanaú - CE, 61900-230)SHOPPING EUSÉBIO(End.: E040 ?, Av. Eusébio de Queiroz, 1890 - Loja 10 - Tamatanduba, Eusébio - CE)CENTRO(End. R. Guilherme Rocha, 203 - Centro)SHOPPING RIO MAR KENNEDY (End.: Av. Sgt. Hermínio Sampaio, 3100 - Pres. Kennedy, Fortaleza - CE) MESSEJANA (Av. Frei Cirilo, 172 - Messejana, Fortaleza - CE)NORTH SHOPPING JÓQUEI (Av. Lineu Machado, 419 - Jóquei Clube, Fortaleza - CE)Venda on-line: https://www.virtualticket.com.br/eventos/garota-vip-fortaleza-2024#GarotaVip #Fortaleza #Ceará #SaveTheDate #SóOsFortesEntendem #WesleySafadão #CamaroteShows #LuanSantana #LeoSantana #MarieRayane;Garota VIP Fortaleza;-;Wesley Safadão, Luan Santana, Leo Santana, Marie Rayane;14/03/24;-;https://www.virtualticket.com.br/eventos/garota-vip-fortaleza-2024
61;ATENÇÃO, ATENÇÃO SÁBADO TEM VIRADA DE LOTEFERIADÃO EM LIMOEIRO _O FENÔMENO E O ORIGINAL_@nattan e @zevaqueiro Só vem _SSVALE 2024_O maior evento do interior do Ceará!Sábado de Aleluia, 30 de março No @zoadashows em Limoeiro!Que pancada de encontro Vendas online: brasilticket.com.br;VIRADA DE LOTEFERIADÃO;Limoeiro;Nattan e Zé Vaqueiro;30/03/24;-;brasilticket.com.br
62;Faltam 10 dias para vivermos o MELHOR do forró! Zé Cantor, Toca do Vale, Junior Vianna e Forró Real te esperam dia 23 de março, no estacionamento do Cidade Mix. Pontos de venda - On-line: https://brasilticket.com.br/cidade-mix-forro-de-verdade.html- ?Vendas físicas: Barzim da Maraponga, Carneiro Prime e Óticas Diniz. #CidadeMix #Forró #Forródeverdade;Cidade Mix - Forró de Verdade;Estacionamento do Cidade Mix;Zé Cantor, Toca do Vale, Junior Vianna e Forró Real;23/03/24;-;https://brasilticket.com.br/cidade-mix-forro-de-verdade.html
63;É só até amanhã, Quixeramobim! ? Corra e garanta já o seu ingresso, no valor atual, pra curtir @seudesejo, @reyvaqueiro e @claudioneyejuliana dia 16 de março na casa de shows Arreio de Prata! Pontos de venda: Online - Virtual Ticket: www.virtualticket.com.br/eventos/a-mais-romantica-e-o-rey Venda Física: Quixeramobim: Divino 88 e Casa do Bebê • Quixadá: Tella • São Miguel: José Amâncio Mercantil #SeuDesejo #Ceará #ReyVaqueiro #Quixeramobim #AMaisRomântica #ClaudioNeyEJuliana #ÉoRey;A Mais Romântica e o Rey;Casa de shows Arreio de Prata;@seudesejo, @reyvaqueiro, @claudioneyejuliana;16/03/24;-;www.virtualticket.com.br/eventos/a-mais-romantica-e-o-rey
64;14/09 - Humberto Gessinger (Praça Verde).Ingressos: site bilheteria virtual, link: https://bilheteriavirtual.com.br/Pista R$ 100,00 (meia) / R$ 200,00 (inteira)Frontstage R$ 120,00 (meia) / R$ 240,00 (inteira)..UTILIDADE PÚBLICA: baixe o app RecargaPay e faça pix com cartão de crédito com a menor taxa do mercado e ganhe cashback com o código: rafpin394 Você pode clicar nesse link na bio: https://recargapay.com.br/r/rafpin394-mk...Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Humberto Gessinger;Praça Verde;Humberto Gessinger;14/09/2024;Pista R$ 100,00 (meia) / R$ 200,00 (inteira), Frontstage R$ 120,00 (meia) / R$ 240,00 (inteira);https://bilheteriavirtual.com.br/
65;09/06 - Anavitoria e Nando Reis (Iguatemi Hall).Ingressos: Site bilheteria virtual, link: https://www.bilheteriavirtual.com.br/evento/3257/ANAVIT0RIA_&_NAND0_REIS..UTILIDADE PÚBLICA: baixe o app RecargaPay e faça pix com cartão de crédito com a menor taxa do mercado e ganhe cashback com o código: rafpin394 Você pode clicar nesse link na bio: https://recargapay.com.br/r/rafpin394-mk...Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Anavitoria e Nando Reis;Iguatemi Hall;-;09/06/2024;-;https://www.bilheteriavirtual.com.br/evento/3257/ANAVIT0RIA_&_NAND0_REIS
66;19/04 - Matuê (Marina Park).Ingressos: site seu tickets, link: https://www.seutickets.com.br/eventos/festival-plantao-fortaleza..UTILIDADE PÚBLICA: baixe o app RecargaPay e faça pix com cartão de crédito com a menor taxa do mercado e ganhe cashback com o código: rafpin394 Você pode clicar nesse link na bio: https://recargapay.com.br/r/rafpin394-mk...Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Festival Plantão Fortaleza;Marina Park;Matuê;19/04/2024;-;https://www.seutickets.com.br/eventos/festival-plantao-fortaleza
67;13/07 - Restart (Sana).Ingressos: inicio dia 5 de março no site sympla..UTILIDADE PÚBLICA: baixe o app RecargaPay e faça pix com cartão de crédito com a menor taxa do mercado e ganhe cashback com o código: rafpin394 https://recargapay.com.br/r/rafpin394-mk...Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Restart;Sana;-;13/07/2024;-;https://sympla.com.br
68;05/05 - Gloria (Hard Noise).Ingressos: site articles, link: https://articket.com.br/e/1741/gloria-em-fortaleza..UTILIDADE PÚBLICA: baixe o app RecargaPay e faça pix com cartão de crédito com a menor taxa do mercado e ganhe cashback com o código: rafpin394 https://recargapay.com.br/r/rafpin394-mk..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Gloria (Hard Noise);-;-;05/05/2024;-;https://articket.com.br/e/1741/gloria-em-fortaleza
69;03/08 - Forfun (Arena Iguatemi).Ingressos: Site Eventim, link: https://www.eventim.com.br/event/forfun-arena-iguatemi-18145830/..UTILIDADE PÚBLICA: baixe o app RecargaPay e faça pix com cartão de crédito com a menor taxa do mercado e ganhe cashback com o código: rafpin394 https://recargapay.com.br/r/rafpin394-mk..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Forfun;Arena Iguatemi;Forfun;03/08/2024;-;https://www.eventim.com.br/event/forfun-arena-iguatemi-18145830/
70;20/04 - Barao Vermelho (Estacionamento Rio Mar).Ingressos: Site Bilheteria Digital, link: https://www.bilheteriadigital.com/paulo-ricardo-e-barao-vermelho-fortaleza-09-de-marco.Postando de novo porque mudou o dia.UTILIDADE PÚBLICA: baixe o app RecargaPay e faça pix com cartão de crédito com a menor taxa do mercado e ganhe cashback com o código: rafpin394 https://recargapay.com.br/r/rafpin394-mk..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Barao Vermelho;Estacionamento Rio Mar;Barao Vermelho;20/04/2024;-;https://www.bilheteriadigital.com/paulo-ricardo-e-barao-vermelho-fortaleza-09-de-marco
71;20/04 - Paulo Ricardo (Estacionamento Rio Mar).Ingressos: Site Bilheteria Digital, link: https://www.bilheteriadigital.com/paulo-ricardo-e-barao-vermelho-fortaleza-09-de-marco.Postando de novo porque mudou o dia.UTILIDADE PÚBLICA: baixe o app RecargaPay e faça pix com cartão de crédito com a menor taxa do mercado e ganhe cashback com o código: rafpin394 https://recargapay.com.br/r/rafpin394-mk..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Paulo Ricardo e Barão Vermelho;Estacionamento Rio Mar;Paulo Ricardo;20/04/2024;-;https://www.bilheteriadigital.com/paulo-ricardo-e-barao-vermelho-fortaleza-09-de-marco
72;13/02 - Zeca Baleiro (Aterrinho da Praia de Iracema).Ingressos: Gratuito. Carnaval de FortalezaPROGRAMAÇÃO DO DIA:* DJ Kinas* Bloco Mambembe* Zeca Baleiro* Maria Rita..UTILIDADE PÚBLICA: baixe o app RecargaPay e faça pix com cartão de crédito com a menor taxa do mercado e ganhe cashback com o código: rafpin394 Você pode clicar nesse link na bio: https://recargapay.com.br/r/rafpin394-mk..Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Carnaval de Fortaleza;Aterrinho da Praia de Iracema;Zeca Baleiro;13/02/2024;Gratuito;https://recargapay.com.br/r/rafpin394-mk
73;09/03 - Djavan (Centro de Eventos).Ingressos: site efolia, link: https://efolia.com.br/ingressos/2485/djavan_turne_d..UTILIDADE PÚBLICA: baixe o app RecargaPay e faça pix com cartão de crédito com a menor taxa do mercado e ganhe cashback com o código: rafpin394 https://recargapay.com.br/r/rafpin394-mk...Ative as notificações no instagram e siga o moderador da pagina @rpontofael;Djavan Turnê;Centro de Eventos;Djavan;09/03/2024;-;https://efolia.com.br/ingressos/2485/djavan_turne_d
74;Vai ter pagode do bom no @praiow dia 23.03 e você já pode deixar seu lugar reservado! @somdefaculdade vai vir aí para fazer um repertório incrível à beira mar! Ingressos: www.praiow.com.br;Pagode do Bom;Praiow;Som de Faculdade;23/03/24;-;www.praiow.com.br
75;AÊ FORTALEZA??? Estão assim também? Não sabe se tá vivendo ou só esperando o @garotavip dia 27 de abril? ?O festival mais amado do Brasil te espera com nosso líder @wesleysafadao e mais…. @luansantana, @leosantana e @marierayaneoficial Garanta seu ingresso: PONTOS FÍSICOS: RANCHO DO POÇO:(R. Oscar Benevides, 90 - Mondubim, Fortaleza-CE)LOJAS PONTO DA MODA:MARACANAÚ(End.: R. Dezesseis, 331 - Jereissati I, Maracanaú - CE, 61900-230)SHOPPING EUSÉBIO(End.: E040 ?, Av. Eusébio de Queiroz, 1890 - Loja 10 - Tamatanduba, Eusébio - CE)CENTRO(End. R. Guilherme Rocha, 203 - Centro)SHOPPING RIO MAR KENNEDY (End.: Av. Sgt. Hermínio Sampaio, 3100 - Pres. Kennedy, Fortaleza - CE) MESSEJANA (Av. Frei Cirilo, 172 - Messejana, Fortaleza - CE)NORTH SHOPPING JÓQUEI (Av. Lineu Machado, 419 - Jóquei Clube, Fortaleza - CE)Venda on-line: https://www.virtualticket.com.br/eventos/garota-vip-fortaleza-2024#GarotaVip #Fortaleza #Ceará #SaveTheDate #SóOsFortesEntendem #WesleySafadão #CamaroteShows #LuanSantana #LeoSantana #MarieRayane;Garota VIP Fortaleza 2024;-;Wesley Safadão, Luan Santana, Leo Santana, Marie Rayane;27/04/24;-;https://www.virtualticket.com.br/eventos/garota-vip-fortaleza-2024#GarotaVip
76;Hoje é dia de #tbt e não poderíamos deixar de relembrar alguns dos grandes sucessos da dupla @henriqueejuliano para sentirmos A MAIOR SAUDADE! Dia 18 de maio eles vão desembarcar em FORTALEZA para uma apresentação muito especial. Você não vai querer ficar de fora, né? Ingressos esgotando: www.limitezero.art.br;Show de Henrique e Juliano;Fortaleza;Henrique e Juliano;18/05/24;-;www.limitezero.art.br
77;"Vem aí! Novo DVD @tonyguerraoficial ""Inesquecível"". Aguardem! #TonyGuerra #Sacode@agencia.after";Inesquecível;-;Tony Guerra;-;-;-
78;FORTALEZA!! O show da Tarja Turunen e Marko Hietala está a apenas dois dias de distância! Prepare-se para uma noite histórica de metal sinfônico em Fortaleza. Ainda dá tempo de garantir seu ingresso e fazer parte desse momento memorável! Corra e garanta o seu agora mesmo pelo link na bio. #TarjaTurunen #MarkoHietala #MetalSinfônico #ShowEmFortaleza #IngressosDisponíveis;Show de Tarja Turunen e Marko Hietala;Fortaleza;Tarja Turunen e Marko Hietala;-;-;-
79;Garanta logo seu ingresso, no site @efolia. @Brunomartini + @Murilotronco + @Dudufeitosa + @Slimfatmusic +@VicentedecastroPíer do Marina Park Hotel Sábado | 13/04;Efolia;Píer do Marina Park Hotel;Brunomartini, Murilotronco, Dudufeitosa, Slimfatmusic, Vicentedecastro;13/04/2024;-;https://www.efolia.com.br
80;SAVE THE DATE! Vocês se lembram do ano passado? Festa linda, muita alegria e momentos inesquecíveis! O que foi bom em nossa 1ª edição será melhor ainda em 2024. Duvidam? Nosso reencontro é sábado, dia 22/06 @vemprochurrasquinho Em breve, mais informações#VemProChurrasquinho #Pagode #MenosÉMais #GrupoMenosÉMais #ChurrasquinhoMenosÉMais;Vem Pro Churrasquinho;-;Grupo Menos É Mais;22/06/2024;-;-
81;CONTAGEM REGRESSIVASÁBADO TEM VIRADA DE LOTEFERIADÃO EM LIMOEIRO _O FENÔMENO E O ORIGINAL_@nattan e @zevaqueiro Só vem _SSVALE 2024_O maior evento do interior do Ceará!Sábado de Aleluia, 30 de março No @zoadashows em Limoeiro!Que pancada de encontro Vendas: brasilticket.com.br;-;ZOADASHOWS EM LIMOEIRO;@nattan e @zevaqueiro;30/03/24;-;brasilticket.com.br
82;?JOTAVÊ e HENRY FREITAS mandou avisar que esse nesse FDS Fortaleza vai ferver Preparem-se que oficialmente começamos na sexta com o AQUECE no Colosso ?.Vamos aquecer junto com o @AlanzimCoreano + @NuzioMedeiros + @Jotave_of +?. Aquece Fortaleza, 15 de março Vendas: https://outgo.com.br/aquece Informações: (85) 99691-0824 Colosso - Fortaleza/CE .@r10producoes_@acerteiproducoes@1beat.agencia#fortaleza #colosso #aquece;Aquece Fortaleza;Colosso - Fortaleza/CE;@AlanzimCoreano + @NuzioMedeiros + @Jotave_of +?;15/03/24;-;https://outgo.com.br/aquece
83;ATENÇÃO Confira tudo o que você precisa saber sobre a gravação do DVD do Henry Freitas. Nos vemos domingo (17) em Fortaleza Tudo Vira Terapia DVD Henry Freitas 17 de Março Colosso - Fortaleza/CE https://brasilticket.com.br/gravacao-do-dvd-tudo-vira-terapia-henry-freitas.html;Tudo Vira Terapia DVD Henry Freitas;Colosso - Fortaleza/CE;Henry Freitas;17/03/24;-;https://brasilticket.com.br/gravacao-do-dvd-tudo-vira-terapia-henry-freitas.html
84;Atenção, Quixeramobim! Se liguem na ordem das atrações para a nossa noite que será repleta de emoções: 22h - Abertura dos portões 1: @claudioneyejuliana2: @seudesejo3: @reyvaqueiro até o dia amanhecer Pontos de venda: Online - Virtual Ticket: www.virtualticket.com.br/eventos/a-mais-romantica-e-o-rey Venda Física: Quixeramobim: Divino 88 e Casa do Bebê • Quixadá: Tella • São Miguel: José Amâncio Mercantil #SeuDesejo #Ceará #ReyVaqueiro #Quixeramobim #AMaisRomântica #ClaudioNeyEJuliana #ÉoRey;A Mais Romântica e o Rey;Quixeramobim, Divino 88 e Casa do Bebê, Tella, José Amâncio Mercantil;@claudioneyejuliana, @seudesejo, @reyvaqueiro;-;-;www.virtualticket.com.br/eventos/a-mais-romantica-e-o-rey
85;@avinevinny é o responsável por fazer revoadas inesquecíveis! E dia 23.03 não será diferente! Faltam só 7 dias, então corre porque tá chegando. Não vai ficar de fora, né? Ingressos: Link na bio;-;-;Avine Vinny;23/03/2024;-;-
86;O time está formado para o nosso encontro no @praiow dia 06.04! Já deixem tudo programado e ingresso garantido. Vai ser uma noite de tirar o fôlego. ? Link na bio;-;Praiow;-;06/04/24;-;-
87;ÚLTIMAS HORAS HOJE TEM VIRADA DE LOTEFERIADÃO EM LIMOEIRO _O FENÔMENO E O ORIGINAL_@nattan e @zevaqueiro Só vem _SSVALE 2024_O maior evento do interior do Ceará!Sábado de Aleluia, 30 de março No @zoadashows em Limoeiro!Que pancada de encontro Vendas online: brasilticket.com.br;-;Limoeiro;Nattan e Ze Vaqueiro;30/03/24;-;brasilticket.com.br
88;FALTAM 7 DIAS para vivermos o melhor forró do BRASIL! Zé Cantor, Toca do Vale, Junior Vianna e Forró Real te esperam dia 23 de março, no estacionamento do Cidade Mix. Pontos de venda - On-line: https://brasilticket.com.br/cidade-mix-forro-de-verdade.html- ?Vendas físicas: Barzim da Maraponga, Carneiro Prime e Óticas Diniz. #CidadeMix #Forró #Forródeverdade #Ingresso;-;estacionamento do Cidade Mix;Zé Cantor, Toca do Vale, Junior Vianna e Forró Real;23/03/24;-;https://brasilticket.com.br/cidade-mix-forro-de-verdade.html
89;FORTALEZA!! Os portões abrirão às 19h30 para o show da TARJA e MARKO HIETALA! Fiquem ligados nas recomendações e restrições para aproveitar ao máximo o SHOW HOJE! #PortõesAbertos;Show da Tarja e Marko Hietala;Fortaleza;Tarja e Marko Hietala;-;-;-
90;O nosso momento chegou, Quixeramobim! Hoje viveremos uma noite repleta de emoções com @seudesejo, @reyvaqueiro e @claudioneyejuliana na Casa de Shows Arreio de Prata! Ah, não esqueça os óculos escuros, pois vamos amanhecer com o Rey das Vaquejadas! Pontos de venda: Online - Virtual Ticket: www.virtualticket.com.br/eventos/a-mais-romantica-e-o-rey Venda Física: Quixeramobim: Divino 88 e Casa do Bebê • Quixadá: Tella • São Miguel: José Amâncio Mercantil #SeuDesejo #Ceará #ReyVaqueiro #Quixeramobim #AMaisRomântica #ClaudioNeyEJuliana #ÉoRey;A Mais Romântica e o Rey;Casa de Shows Arreio de Prata;Seu Desejo, Rey Vaqueiro, Claudio Ney e Juliana;-;-;www.virtualticket.com.br/eventos/a-mais-romantica-e-o-rey
91;FORTALEZA!!! O grande dia chegou! Hoje é o show da Tarja e Marko Hietala em Fortaleza! Vocês esperaram tanto por esse momento histórico, então vamos aproveitar juntos! Os portões abrirão às 19:30! Se ainda não garantiu seu ingresso, corra! Últimos ingressos disponíveis. Link na bio! #ShowTarjaMarkoFortaleza #MomentoHistórico #últimosingressos;Show da Tarja e Marko Hietala em Fortaleza;Fortaleza;Tarja e Marko Hietala;-;-;-
92;FORTALEZA!!Sei que vocês estão muito animados pra esse tão aguardado show da Tarja e do Marko Hietala então temos uma novidade: Os portões abrirão mais cedo! Às 19:30! Para proporcionar mais conforto e comodidade para todos! E se você ainda não adquiriu seu ingresso, não perde tempo pois os últimos ingressos ainda estão disponíveis! LINK NA BIO. #tarjaemarkoemfortaleza;Show da Tarja e do Marko Hietala;-;Tarja e Marko Hietala;-;-;-
93;CONTAGEM REGRESSIVAAMANHÃ TEM VIRADA DE LOTEFERIADÃO EM LIMOEIRO O FENÔMENO E O ORIGINAL@nattan e @zevaqueiro Só vem SSVALE 2024O maior evento do interior do Ceará!Sábado de Aleluia, 30 de março No @zoadashows em Limoeiro!Que pancada de encontro Vendas online: brasilticket.com.br;-;Zoada Shows, Limoeiro;Nattan e Zé Vaqueiro;30/03/24;-;brasilticket.com.br
94;A rainha do samba, nossa Alcione Marrom estará de volta a Fortaleza no dia 01 de Junho, em única apresentação. Ingressos a venda :Óticas Diniz - Shop. Iguatemi e North Shop. (Bezerra de Menezes) www.grafcarlos.com;Alcione Marrom;Fortaleza;Alcione Marrom;01/06/24;-;www.grafcarlos.com
95;Sextou com forró de vaquejada A Farra do Zé 3 já está disponível no Youtube. Chaaaama #zecantor #vaquejada;A Farra do Zé 3;-;Zé Cantor;-;-;https://www.youtube.com
96;FORTALEZA!!O grande dia finalmente está chegando! Amanhã, Fortaleza será palco de um momento histórico com o show de Tarja Turunen e Marko Hietala! Se você ainda não garantiu seu ingresso, não perca tempo! Os últimos estão disponíveis. Quer fazer parte desse espetáculo incrível? Corra e garanta o seu agora mesmo! Link na bio. #TarjaTurunen #MarkoHietala #ShowAoVivo #Fortaleza #MúsicaAoVivo;Show de Tarja Turunen e Marko Hietala;Fortaleza;Tarja Turunen e Marko Hietala;-;-;-
97;É HOJE Sem dúvidas o melhor lugar para curtir a noite de Fortaleza! Vem aproveitar e se divertir aqui no seu Dedé! @seudedebotequim Cuidaa!#vemproseudedéAv. Pontes Vieira, 1700. São João do Tatuapé - Fortaleza- Ce;-;Seu Dedé Botequim;-;-;-;-
98;? É HOJE?Aquece Fortaleza Preparem-se que oficialmente começamos o FDS hoje com o AQUECE no Colosso ?.Vamos aquecer junto com o @AlanzimCoreano + @NuzioMedeiros + @Jotave_of +?. Aquece Fortaleza, 15 de março Vendas: https://outgo.com.br/aquece Informações: (85) 99691-0824 Colosso - Fortaleza/CE .@r10producoes_@acerteiproducoes@1beat.agencia#fortaleza #colosso #aquece;Aquece Fortaleza;Colosso - Fortaleza/CE;AlanzimCoreano + NuzioMedeiros + Jotave_of;15/03/24;-;https://outgo.com.br/aquece
99;Segundou com a energia do FDS é no @radar.pub! Nesta segunda (18), véspera de feriado, o pub mais irado da cidade vai comecar a semana com o agito diferenciado de Arthur Bacana e dos Djs Igor Wolf, Lari Cavalcante e JR Vasconcelos no comando dos principais hits até o amanhecer! Além disso, tem happy hour de 19h às 21h e toda a estrutura incrível do Radar Pub com ambiente climatizado e coberto para tornar a experiência ainda mais especial! ?Garante já seu ingresso antecipado com link na bio e nos stories! #radarpub #vesperadeferiado #vocetanomeuradar #festa #balada #fortaleza;-;Radar Pub;Arthur Bacana e DJs Igor Wolf, Lari Cavalcante e JR Vasconcelos;-;-;-
100;? Tudo vira terapia Que vybbe é essa @henryfreitas ? Por aqui foi naquela energia fora do normal! Com certeza juntos entramos pra história.;Tudo Vira Terapia;-;@henryfreitas;-;-;-
101;CHEGOU O DIA! Hoje Tudo Vira Terapia em Fortaleza, na gravação do DVD do Henry Freitas;Tudo Vira Terapia;Fortaleza;Henry Freitas;-;-;-
102;Só quem fã entende e quem já viveu sabe o que é curtir com @wesleysafadao e seus grandes sucessos no Festival mais amado do Brasil. Pronto, preparado e querendo? Dia 27 de abril o @garotavip promete! Garanta seu ingresso: PONTOS FÍSICOS: RANCHO DO POÇO:(R. Oscar Benevides, 90 - Mondubim, Fortaleza-CE)LOJAS PONTO DA MODA:MARACANAÚ(End.: R. Dezesseis, 331 - Jereissati I, Maracanaú - CE, 61900-230)SHOPPING EUSÉBIO(End.: E040 ?, Av. Eusébio de Queiroz, 1890 - Loja 10 - Tamatanduba, Eusébio - CE)CENTRO(End. R. Guilherme Rocha, 203 - Centro)SHOPPING RIO MAR KENNEDY (End.: Av. Sgt. Hermínio Sampaio, 3100 - Pres. Kennedy, Fortaleza - CE) MESSEJANA (Av. Frei Cirilo, 172 - Messejana, Fortaleza - CE)NORTH SHOPPING JÓQUEI (Av. Lineu Machado, 419 - Jóquei Clube, Fortaleza - CE)Venda on-line: https://www.virtualticket.com.br/eventos/garota-vip-fortaleza-2024#GarotaVip #Fortaleza #Ceará #SaveTheDate #SóOsFortesEntendem #WesleySafadão #CamaroteShows #LuanSantana #LeoSantana #MarieRayane;Garota Vip Fortaleza 2024;Diversos locais em Fortaleza-CE;@wesleysafadao e outros artistas;27/04/24;-;https://www.virtualticket.com.br/eventos/garota-vip-fortaleza-2024#
103;Recadinho do Terapeuta Dr. HENRY ?Hoje TUDO VIRA TERAPIA em Fortaleza/CE Sessão marcada às 16hrs. Cheguem cedo! #dvdhenry;TUDO VIRA TERAPIA;Fortaleza/CE;-;-;-;-
